"food_code","name","category","base_amount","base_unit","kcal","carbs","protein","fat","sugar","dietary_fiber","vit_a","vit_c","vit_d","calcium","iron","sodium","image"
"D402-144000000-0001","소고기 샌드위치","빵 및 과자류","200","G","406","39.4","13.8","21.22","5.86","2.4","46.0","6.74","0.14","42.0","1.46","656.0","food-category/bread.jpg"
"D406-323000000-0001","메기 매운탕","찌개 및 전골류","200","G","118","14.78","8.0","2.92","1.38","2.0","52.0","3.12","1.5","38.0","0.98","528.0","food-category/stew.jpg"
"D401-051450000-0001","회덮밥_참치","밥류","200","G","216","35.3","9.8","3.56","2.9","2.0","54.0","4.52","1.5","34.0","1.1","168.0","food-category/rice.jpg"
"D401-052000000-0001","흑미밥","밥류","200","G","240","51.46","4.6","0.74","0.34","1.4","0.0","0.0","0.0","6.0","0.18","2.0","food-category/rice.jpg"
"D401-054000000-0001","강낭콩밥","밥류","200","G","222","48.42","4.4","0.3","0.02","1.6","0.0","0.16","0.0","8.0","1.0","4.0","food-category/rice.jpg"
"D401-055000000-0001","검정콩밥","밥류","200","G","272","55.2","6.6","1.58","0.7","2.4","0.0","0.26","0.0","14.0","0.6","2.0","food-category/rice.jpg"
"D401-057000000-0001","굴 국밥","밥류","200","G","126","25.58","3.2","0.64","0.92","1.0","2.0","0.72","0.0","46.0","0.98","288.0","food-category/rice.jpg"
"D401-058000000-0001","굴밥","밥류","200","G","244","42.88","8.6","3.9","1.32","2.0","26.0","2.36","0.3","166.0","3.58","252.0","food-category/rice.jpg"
"D401-059200000-0001","김치 볶음밥_모듬","밥류","200","G","260","43.0","7.6","5.58","2.02","3.4","18.0","4.36","0.4","30.0","0.68","304.0","food-category/rice.jpg"
"D401-060000000-0001","낙지 덮밥","밥류","200","G","184","30.88","9.0","2.56","3.52","2.4","40.0","3.26","0.0","26.0","0.9","374.0","food-category/rice.jpg"
"D401-061000000-0001","낙지 비빔밥","밥류","200","G","176","29.44","8.6","2.62","2.5","2.0","46.0","2.84","0.06","28.0","0.9","352.0","food-category/rice.jpg"
"D401-062000000-0001","닭고기 덮밥","밥류","200","G","178","32.72","8.6","0.76","0.9","1.2","28.0","1.14","0.0","8.0","0.44","134.0","food-category/rice.jpg"
"D401-063000000-0001","돼지머리국밥","밥류","200","G","144","25.1","4.2","2.32","0.82","1.0","2.0","0.72","0.06","8.0","0.22","286.0","food-category/rice.jpg"
"D401-064000000-0001","모듬 김밥","밥류","200","G","226","34.98","8.4","5.5","1.4","2.6","76.0","7.96","0.48","48.0","0.76","368.0","food-category/rice.jpg"
"D401-065000000-0001","모듬 초밥","밥류","200","G","378","57.3","20.0","6.28","4.9","1.4","206.0","1.36","5.06","70.0","2.18","788.0","food-category/rice.jpg"
"D401-066000000-0001","무밥","밥류","200","G","354","73.36","7.4","2.12","1.58","2.6","0.0","5.14","0.0","26.0","0.56","396.0","food-category/rice.jpg"
"D401-068000000-0001","버섯 덮밥","밥류","200","G","202","36.94","5.2","3.26","1.08","1.8","18.0","1.8","0.0","10.0","0.52","126.0","food-category/rice.jpg"
"D401-069000000-0001","비빔 잡곡밥","밥류","200","G","276","51.32","7.2","4.24","1.36","4.2","44.0","2.38","0.14","42.0","1.12","186.0","food-category/rice.jpg"
"D401-070000000-0001","소고기 국밥","밥류","200","G","132","25.08","4.6","1.12","0.82","1.0","2.0","0.74","0.0","8.0","0.42","248.0","food-category/rice.jpg"
"D401-073000000-0001","양송이 덮밥","밥류","200","G","186","39.28","3.8","1.3","2.54","1.4","22.0","1.9","0.0","8.0","0.84","92.0","food-category/rice.jpg"
"D401-074000000-0001","열무 비빔밥","밥류","200","G","168","33.72","5.0","1.02","1.22","1.8","30.0","1.1","0.0","40.0","0.5","224.0","food-category/rice.jpg"
"D401-032640000-0001","잡곡밥_현미","밥류","200","G","264","56.16","5.8","0.98","0.3","2.2","0.0","0.16","0.0","12.0","1.16","6.0","food-category/rice.jpg"
"D401-033000000-0001","잡채밥","밥류","200","G","226","39.3","6.2","4.16","1.22","1.4","54.0","3.92","0.04","18.0","0.74","162.0","food-category/rice.jpg"
"D401-034000000-0001","잡탕밥","밥류","200","G","230","37.26","11.0","3.68","0.54","1.6","4.0","1.26","1.06","16.0","0.58","176.0","food-category/rice.jpg"
"D401-035000000-0001","주먹밥","밥류","200","G","270","51.04","4.6","4.18","1.76","1.4","0.0","0.0","0.0","20.0","0.3","210.0","food-category/rice.jpg"
"D401-035230000-0001","주먹밥_배추김치","밥류","200","G","212","41.62","4.78","2.6","1.58","2.4","16.0","1.98","0.0","32.0","0.84","288.0","food-category/rice.jpg"
"D401-035450000-0001","주먹밥_참치","밥류","200","G","262","42.32","9.48","5.42","1.26","1.6","12.0","0.98","1.16","26.0","2.1","300.0","food-category/rice.jpg"
"D401-036000000-0001","짜장밥","밥류","200","G","186","31.16","5.7","3.88","4.28","2.2","14.0","4.62","0.14","22.0","0.72","360.0","food-category/rice.jpg"
